Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-11-13,Ferdinand,2017,https://boxd.it/yLRXl,3,Yes,,2018-11-13
2018-11-18,A Quiet Place,2018,https://boxd.it/yXtvV,4,,bf!,2018-11-18
2018-11-18,The Hateful Eight,2015,https://boxd.it/yXtE9,4,,,2018-11-18
2018-12-09,The Wolf of Wall Street,2013,https://boxd.it/zNldX,4,,,2018-12-08
2018-12-10,Home Alone,1990,https://boxd.it/zQ8mD,3.5,Yes,,2018-12-08
2018-12-18,Dumplin',2018,https://boxd.it/AaJ63,3,,,2018-12-14
2018-12-22,Ralph Breaks the Internet,2018,https://boxd.it/Al3oL,2,,,2018-12-20
2018-12-28,Home Alone 2: Lost in New York,1992,https://boxd.it/AFM63,2.5,Yes,,2018-12-26
2018-12-31,Mrs. Doubtfire,1993,https://boxd.it/AQvhl,3,Yes,,2018-12-29
2019-01-02,Game Night,2018,https://boxd.it/B32PT,3,,,2018-12-30
2019-01-02,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/B337X,3.5,,,2018-12-31
2019-01-13,Black Mirror: Bandersnatch,2018,https://boxd.it/BRMg1,2.5,,,2019-01-11
2019-01-20,Wonder,2017,https://boxd.it/Ci1Dr,3,,,2019-01-19
2019-01-24,Fyre Fraud,2019,https://boxd.it/CvXm5,3,,,2019-01-19
2019-02-03,Eighth Grade,2018,https://boxd.it/D91xf,3.5,,bfi,2019-02-01
2019-02-24,Solo: A Star Wars Story,2018,https://boxd.it/EgRkb,3.5,,,2019-02-17
2019-03-11,Star Wars: The Last Jedi,2017,https://boxd.it/F2Hxb,3,,bf0,2019-03-07
2019-03-14,Leaving Neverland,2019,https://boxd.it/FdMX1,3.5,,,2019-03-07
2019-03-11,Diary of a Wimpy Kid: The Long Haul,2017,https://boxd.it/F2GwV,2,,bfi,2019-03-09
2019-03-11,Adventures in Babysitting,1987,https://boxd.it/F2HdF,2,,bf0,2019-03-09
2019-03-14,The Ritual,2017,https://boxd.it/FdMLf,1.5,,bfi,2019-03-13
2019-03-19,Lady Bird,2017,https://boxd.it/FtZd3,4,,bfi,2019-03-18
2019-04-03,First Reformed,2017,https://boxd.it/Gesbd,2.5,,,2019-04-03
2019-05-16,Three Identical Strangers,2018,https://boxd.it/IfiKR,3.5,,,2019-05-01
2019-08-07,BlacKkKlansman,2018,https://boxd.it/MoOwh,4,,bf0,2019-08-03
2019-08-29,The Disaster Artist,2017,https://boxd.it/NAHRb,4,,,2019-08-28
2019-09-02,Bad Times at the El Royale,2018,https://boxd.it/NNDxR,4,,bfi,2019-09-01
2019-09-03,A Simple Favor,2018,https://boxd.it/NOVfX,2,,bf0,2019-09-02
2019-09-04,Funny Farm,1988,https://boxd.it/NUA1R,3,Yes,bf0,2019-09-02
2019-09-07,Bohemian Rhapsody,2018,https://boxd.it/O4hQh,3.5,,bf0,2019-09-07
2019-09-30,The Autopsy of Jane Doe,2016,https://boxd.it/PdzJP,2.5,,,2019-09-28
2019-10-05,Moonlight,2016,https://boxd.it/PvE1f,3.5,,bf0,2019-10-02
2019-10-08,The Cabin in the Woods,2011,https://boxd.it/PGMH1,3.5,,bf0,2019-10-06
2019-10-16,Fractured,2019,https://boxd.it/QcLYp,3,,bfi,2019-10-14
2019-10-18,We Have Always Lived in the Castle,2018,https://boxd.it/Qjl4z,3.5,,bf0,2019-10-17
2019-10-20,The NeverEnding Story,1984,https://boxd.it/QrY4J,4,,bf0,2019-10-18
2019-10-20,The Others,2001,https://boxd.it/QrYan,4,,bfi,2019-10-19
2019-10-22,Isn't It Romantic,2019,https://boxd.it/QzqJz,2.5,,bf0,2019-10-21
2019-10-29,The Lost Boys,1987,https://boxd.it/QWr4j,3.5,,bfi,2019-10-28
2019-10-30,The Nightmare Before Christmas,1993,https://boxd.it/R0a7D,4,Yes,bf0,2019-10-29
2019-11-01,Us,2019,https://boxd.it/R7l4p,4,,bfi,2019-10-30
2019-11-19,The Million Dollar Duck,1971,https://boxd.it/SefPn,2,,bf0,2019-11-17
2019-11-24,The Post,2017,https://boxd.it/Su4ab,4,,bf0,2019-11-22
2019-11-25,Ferris Bueller's Day Off,1986,https://boxd.it/Sz2I1,4,,bf0,2019-11-24
2019-12-09,Bad Santa,2003,https://boxd.it/Tsjs5,4,,,2019-12-06
2019-12-12,Klaus,2019,https://boxd.it/TGY8X,3.5,,bf0,2019-12-09
2019-12-20,National Lampoon's Christmas Vacation,1989,https://boxd.it/UcMdl,3,Yes,bf0,2019-12-19
2019-12-25,Die Hard,1988,https://boxd.it/UCqLx,3,,bf!,2019-12-21
2020-01-04,The Two Popes,2019,https://boxd.it/VAXgn,3.5,,,2020-01-02
2020-01-04,Step Brothers,2008,https://boxd.it/VAXuT,3.5,,bf0,2020-01-02
2020-01-08,Embrace of the Serpent,2015,https://boxd.it/VXqHB,3,,bf!,2020-01-07
2020-02-03,Midsommar,2019,https://boxd.it/YoVyd,3,,bfi,2020-01-31
2020-02-16,Groundhog Day,1993,https://boxd.it/Zwn5B,4,Yes,,2020-02-14
2020-02-17,Miss Americana,2020,https://boxd.it/ZDnYl,3.5,,bfi,2020-02-16
2020-02-18,Okja,2017,https://boxd.it/ZKiIL,2,,bf0,2020-02-16
2020-02-20,Bad Boys,1995,https://boxd.it/ZUMUd,1.5,,bfi,2020-02-19
2020-02-25,Marriage Story,2019,https://boxd.it/10jMeL,3.5,,bfm,2020-02-24
2020-03-09,Smilla's Sense of Snow,1997,https://boxd.it/11lX59,2,,bf0,2020-03-08
2020-03-16,Upgrade,2018,https://boxd.it/11SCxH,3,,bf0,2020-03-15
2020-03-30,McMillion$,2020,https://boxd.it/13m7gT,3,,,2020-03-21
2020-03-30,Toy Story 4,2019,https://boxd.it/13m5Ef,4,,,2020-03-25
2020-03-30,Hotel Transylvania 3: Summer Vacation,2018,https://boxd.it/13m6Aj,3,,,2020-03-29
2020-03-30,The Other Guys,2010,https://boxd.it/13m6G7,3,,,2020-03-29
2020-04-12,The Mule,2018,https://boxd.it/150IBt,4,,,2020-04-11
2020-04-12,Free Solo,2018,https://boxd.it/150IRr,4.5,,bfm,2020-04-11
2020-04-14,Parasite,2019,https://boxd.it/15jc6V,4,,,2020-04-12
2020-04-14,Blazing Saddles,1974,https://boxd.it/15jclr,3.5,Yes,,2020-04-13
2020-04-23,The Pacifier,2005,https://boxd.it/16r5Dt,1.5,,bfi,2020-04-20
2020-04-27,Goldfinger,1964,https://boxd.it/16Wne9,4,Yes,,2020-04-21
2020-04-30,Mission: Impossible â€“ Ghost Protocol,2011,https://boxd.it/17fH7F,4,,,2020-04-27
2020-05-04,Good Boys,2019,https://boxd.it/17IGND,3.5,,,2020-05-02
2020-05-09,The Night Before,2015,https://boxd.it/18mTMX,3,,bf0,2020-05-05
2020-05-09,DodgeBall: A True Underdog Story,2004,https://boxd.it/18mU5P,3,,bf0,2020-05-06
2020-06-03,Hereditary,2018,https://boxd.it/1bd7p1,3,,bf0,2020-05-31
2020-06-03,Grown Ups,2010,https://boxd.it/1bdsHZ,2.5,,bfi,2020-06-02
2020-06-24,Uncut Gems,2019,https://boxd.it/1dm78l,4,,,2020-06-08
2020-07-03,Da 5 Bloods,2020,https://boxd.it/1eilTB,4,,,2020-06-29
2020-07-03,Fruitvale Station,2013,https://boxd.it/1eim7X,4.5,,,2020-07-02
2020-07-19,Palm Springs,2020,https://boxd.it/1fZXrP,3.5,,bfm,2020-07-18
2020-07-21,Eurovision Song Contest: The Story of Fire Saga,2020,https://boxd.it/1gdQk1,2.5,,Bf0,2020-07-20
2020-07-28,Doctor Sleep,2019,https://boxd.it/1gTUJN,3,,bfm,2020-07-27
2020-07-29,Pineapple Express,2008,https://boxd.it/1h2HSv,3,,bf0,2020-07-28
2020-08-06,Jojo Rabbit,2019,https://boxd.it/1hQXk5,4,,bfm,2020-08-05
2020-08-10,Back to School,1986,https://boxd.it/1igC01,2,Yes,bfi,2020-08-08
2020-08-24,Rushmore,1998,https://boxd.it/1jIf7t,3.5,,bf0,2020-08-18
2020-08-24,The Lighthouse,2019,https://boxd.it/1jIFLJ,2.5,,bf0,2020-08-23
2020-09-01,Liar Liar,1997,https://boxd.it/1kAkZ9,3,,bf0,2020-08-28
2020-09-06,I'm Thinking of Ending Things,2020,https://boxd.it/1l5JD5,4,,bf0,2020-09-05
2020-09-13,Stripes,1981,https://boxd.it/1lLNFX,3.5,,,2020-09-11
2020-09-28,The Devil All the Time,2020,https://boxd.it/1norF9,3.5,,bf0,2020-09-27
2020-10-22,Hubie Halloween,2020,https://boxd.it/1pVshL,3,,bf0,2020-10-20
2020-10-23,Borat Subsequent Moviefilm,2020,https://boxd.it/1q2AGX,3.5,,,2020-10-22
2020-10-23,The Lie,2018,https://boxd.it/1q2qvb,2,,bf0,2020-10-23
2020-10-31,The Haunting of Bly Manor,2020,https://boxd.it/1qY9gf,3,,bfi,2020-10-25
2020-11-11,Happy Gilmore,1996,https://boxd.it/1s9Ft7,3.5,,bf0,2020-11-07
2020-12-01,Barton Fink,1991,https://boxd.it/1uhyfB,3.5,,bf0,2020-11-26
2020-12-02,Happiest Season,2020,https://boxd.it/1unbUX,3,,bf0,2020-11-30
2020-12-12,A Bad Moms Christmas,2017,https://boxd.it/1vrOL3,3,,,2020-12-08
2020-12-26,It's a Wonderful Life,1946,https://boxd.it/1xcWGD,5,,bf0,2020-12-24
2020-12-27,Wonder Woman 1984,2020,https://boxd.it/1xjT1V,2,,,2020-12-25
2021-01-06,Click,2006,https://boxd.it/1z9C6R,1.5,,,2021-01-01
2021-01-06,The Hangover,2009,https://boxd.it/1z9C9h,3.5,,,2021-01-02
2021-01-06,Soul,2020,https://boxd.it/1z9Cfz,4,,,2021-01-02
2021-01-10,Greyhound,2020,https://boxd.it/1zNelD,4,,,2021-01-05
2021-01-10,John Wick,2014,https://boxd.it/1zNf15,3,,,2021-01-08
2021-01-13,Inside Man,2006,https://boxd.it/1Aipwp,4.5,,,2021-01-10
2021-01-18,Paddington 2,2017,https://boxd.it/1B1J6B,3.5,,,2021-01-16
2021-01-24,The Invisible Man,2020,https://boxd.it/1BYGxR,3.5,,bfi,2021-01-22
2021-01-30,Ralph Breaks the Internet,2018,https://boxd.it/1CN20F,4,Yes,,2021-01-29
2021-02-15,Ocean's Eleven,2001,https://boxd.it/1F8fz9,4,,,2021-02-12
2021-02-15,Coming to America,1988,https://boxd.it/1F8fNv,4,,,2021-02-13
2021-02-27,Sound of Metal,2019,https://boxd.it/1GNEt7,4,,,2021-02-24
2021-03-03,So I Married an Axe Murderer,1993,https://boxd.it/1Hj8lz,3.5,,bfi,2021-03-01
2021-04-01,The Dig,2021,https://boxd.it/1LgxfV,2,,,2021-03-13
2021-04-03,Daddy's Home,2015,https://boxd.it/1LyuDV,3,,,2021-03-31
2021-04-03,Godzilla vs. Kong,2021,https://boxd.it/1LyuNV,3,,,2021-04-02
2021-04-20,Thunder Force,2021,https://boxd.it/1O59ct,2,,,2021-04-16
2021-04-20,If Anything Happens I Love You,2020,https://boxd.it/1O59n7,4.5,,,2021-04-19
2021-09-05,Luca,2021,https://boxd.it/27lpmd,4,,bf!,2021-08-05
2021-09-15,Malignant,2021,https://boxd.it/28KERT,3,,bfm,2021-09-11
2021-09-15,Cinderella,2021,https://boxd.it/28KF07,3,,bf0,2021-09-11
2021-09-21,Blood Moon,2021,https://boxd.it/29uUsR,3.5,,,2021-09-20
2021-09-21,Blood Moon,2021,https://boxd.it/29uVpf,3.5,Yes,bfi,2021-09-20
2021-10-07,Brahms: The Boy II,2020,https://boxd.it/2bHRlH,,,,2021-10-05
2021-10-07,Brahms: The Boy II,2020,https://boxd.it/2bHRwb,2.5,Yes,bf0,2021-10-06
2021-10-11,House at the End of the Street,2012,https://boxd.it/2co9f7,3,,,2021-10-10
2021-10-21,Squid Game,2021,https://boxd.it/2dQuZZ,2.5,,bfi,2021-10-14
2021-11-16,Minari,2020,https://boxd.it/2i4U3B,2.5,,bfi,2021-11-14
2021-12-26,Jingle All the Way,1996,https://boxd.it/2ox9En,1.5,,,2021-12-24
2021-12-26,Office Christmas Party,2016,https://boxd.it/2oxaI1,3,,,2021-12-24
2021-12-26,'Twas the Fight Before Christmas,2021,https://boxd.it/2oyx1B,2.5,,,2021-12-24
2021-12-26,Christmas Is Canceled,2021,https://boxd.it/2oyuQL,2,,,2021-12-25
2021-12-29,Red Notice,2021,https://boxd.it/2pn2tr,3.5,,bf0,2021-12-28
2022-03-06,Encanto,2021,https://boxd.it/2DwVBf,3,,,2022-02-05
2022-03-06,The Power of the Dog,2021,https://boxd.it/2DwWp5,4,,bfi,2022-03-03
2022-03-06,Sing 2,2021,https://boxd.it/2DwWPx,3,,,2022-03-04
2022-03-30,The Lost Daughter,2021,https://boxd.it/2I1e6V,3,,bfi,2022-03-10
2022-03-23,Turning Red,2022,https://boxd.it/2GG6bn,3,,bfi,2022-03-20
2022-04-25,Once Upon a Time... in Hollywood,2019,https://boxd.it/2MJ5jl,3.5,,bfm,2022-04-19
2022-05-05,The Rental,2020,https://boxd.it/2OpPRr,2.5,,,2022-05-04
2022-05-10,CODA,2021,https://boxd.it/2Pmxnr,4,,bfi,2022-05-08
2022-05-10,Deep Water,2022,https://boxd.it/2PpMol,2.5,,bfi,2022-05-10
2022-05-18,Swan Song,2021,https://boxd.it/2QJzwl,4,,bfi,2022-05-17
2022-07-26,Girl in the Picture,2022,https://boxd.it/33Ku2p,,,,2022-07-23
2022-12-02,Old,2021,https://boxd.it/3uiNNh,3,,bf!,2022-09-01
2022-09-22,Antlers,2021,https://boxd.it/3frtWV,3,,bfi,2022-09-21
2022-10-04,The Exorcism of Emily Rose,2005,https://boxd.it/3hTUPB,3,,bfi,2022-10-02
2022-10-31,Vengeance,2022,https://boxd.it/3nwMiH,4,,bf0,2022-10-19
2022-11-07,Belfast,2021,https://boxd.it/3p2XaH,3.5,,bfi,2022-11-04
2022-11-25,Spirited,2022,https://boxd.it/3sStVT,3.5,,,2022-11-19
2022-11-30,A Christmas Story Christmas,2022,https://boxd.it/3u0cFp,3,,bf0,2022-11-26
2022-12-23,No Sleep 'Til Christmas,2018,https://boxd.it/3zfUpZ,1.5,,bf0,2022-12-19
2022-12-27,We Need to Talk About Kevin,2011,https://boxd.it/3ACrHZ,3.5,,bfi,2022-12-24
2023-01-02,Roald Dahl's Matilda the Musical,2022,https://boxd.it/3CMPL5,4,,bfi,2022-12-29
2023-01-17,The Black Phone,2021,https://boxd.it/3IwAyx,3.5,,bf0,2023-01-15
2023-01-28,You People,2023,https://boxd.it/3M0FMV,3.5,,bfi,2023-01-27
2023-02-08,Glass Onion,2022,https://boxd.it/3Ptd7l,3,,bfi,2023-02-04
2023-02-12,Casino Royale,2006,https://boxd.it/3Qu2Dh,3.5,,,2023-02-11
2023-02-15,I Now Pronounce You Chuck & Larry,2007,https://boxd.it/3Ri98Z,2,,bf0,2023-02-13
2023-02-15,Everything Everywhere All at Once,2022,https://boxd.it/3Ri9Ij,4,,bfi,2023-02-14
2023-02-25,"Lyle, Lyle, Crocodile",2022,https://boxd.it/3U5WAf,2,,bf0,2023-02-24
2023-02-26,True Spirit,2023,https://boxd.it/3Uet4x,3,,bfm,2023-02-25
2023-03-16,Metal Lords,2022,https://boxd.it/3ZliDl,3.5,,bf0,2023-03-13
2023-03-23,Shimmer Lake,2017,https://boxd.it/419SXZ,2,,bf0,2023-03-21
2023-03-30,Where the Crawdads Sing,2022,https://boxd.it/43bydf,2,,bfi,2023-03-30
2023-05-08,Tag,2018,https://boxd.it/4dQj9z,3,,bf0,2023-04-07
2023-05-08,Jackass Forever,2022,https://boxd.it/4dQjEx,3.5,,bfm,2023-04-10
2023-05-08,Wild,2014,https://boxd.it/4dQkft,3,,bfi,2023-05-01
2023-05-11,My Cousin Vinny,1992,https://boxd.it/4eqizt,4,,bfi,2023-05-10
2023-05-16,Signs,2002,https://boxd.it/4fIFaB,3,Yes,bf0,2023-05-14
2023-06-12,Top Gun: Maverick,2022,https://boxd.it/4mIY1r,4,,bfi,2023-06-06
2023-07-30,The Circle,2017,https://boxd.it/4BU6zD,2,,,2023-07-29
2023-09-12,Petite Maman,2021,https://boxd.it/4PT5mn,3,,bf0,2023-09-11
2023-09-26,A Quiet Place Part II,2020,https://boxd.it/4TRlpT,3.5,,bfi,2023-09-13
2023-12-05,Bad Santa,2003,https://boxd.it/5gXhDL,4,Yes,,2023-12-04
2023-12-14,Candy Cane Lane,2023,https://boxd.it/5k2vLL,3.5,,bf0,2023-12-13
2023-12-31,Barbie,2023,https://boxd.it/5rvK15,4,,bfm,2023-12-29
2024-03-30,Murder Mystery,2019,https://boxd.it/6a8SSv,2,,bfi,2024-03-29
2024-03-31,Wine Country,2019,https://boxd.it/6aBUP7,3,,bfi,2024-03-30
2024-03-31,Anatomy of a Fall,2023,https://boxd.it/6aQvD1,3.5,,bf0,2024-03-31
2024-05-26,The Fundamentals of Caring,2016,https://boxd.it/6xWSUN,3,,bf0,2024-05-25
2024-05-29,Dirty Grandpa,2016,https://boxd.it/6zjiZx,3,,,2024-05-27
2024-09-22,Best Worst Movie,2009,https://boxd.it/7nIO23,3,,bf0,2024-09-21
2024-12-07,Nutcrackers,2024,https://boxd.it/7ZlueT,3,,bf0,2024-12-03
2025-01-15,Drive-Away Dolls,2024,https://boxd.it/8tSwyn,4,,bfi,2025-01-13
2025-01-15,We're the Millers,2013,https://boxd.it/8tWgop,4,,bf0,2025-01-14
2025-01-18,Jack Reacher: Never Go Back,2016,https://boxd.it/8w5q5N,2,,bf0,2025-01-17
2025-01-21,Little Fockers,2010,https://boxd.it/8yCy9R,2.5,,bf0,2025-01-20
2025-01-21,A Real Pain,2024,https://boxd.it/8yGkAR,3,,bfm,2025-01-20
2025-02-04,You're Cordially Invited,2025,https://boxd.it/8J84ap,2.5,,bfi,2025-02-03
2025-02-25,My Old Ass,2024,https://boxd.it/8WPgGb,3,,bfi,2025-02-24
